,epoch,train_loss,val_loss
0,1,0.1204500278977097,0.0
1,2,0.053845142976182404,0.0
2,3,0.04298437652407122,0.0
3,4,0.03847287088388302,0.0
4,5,0.0357138687805807,0.04384152936762658
5,6,0.034327821073229195,0.0
6,7,0.0330460094007068,0.0
7,8,0.031301112402780135,0.0
8,9,0.030910749492220214,0.0
9,10,0.028388327354046165,0.040269822576401396
10,11,0.027598680058097253,0.0
11,12,0.02645245861628505,0.0
12,13,0.02624532962065251,0.0
13,14,0.026337866259158633,0.0
14,15,0.02589847858934129,0.03822583655824819
15,16,0.024540136385037273,0.0
16,17,0.02463328849035697,0.0
17,18,0.02380292071792923,0.0
18,19,0.02370219389129369,0.0
19,20,0.024125446321167907,0.03813753653448808
20,21,0.02399566423025776,0.0
21,22,0.023867889719664075,0.0
22,23,0.023660306574501952,0.0
23,24,0.023670280092685927,0.0
24,25,0.022817718750629268,0.0374262769307409
25,26,0.02242099130373509,0.0
26,27,0.02248600435244744,0.0
27,28,0.022602525295414885,0.0
28,29,0.022641947889914277,0.0
29,30,0.02297299301831937,0.03734488615584917
